symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
CESC,CESC Limited,Utilities,12,7,4,1,0,15.484952,53.7,0.056,0.178,0.12547
AIRAN,Airan Limited,Technology,12,4,6,0,2,25.328356,0.0,0.093,3.429,
HIKAL,Hikal Limited,Healthcare,12,2,10,0,0,,0.0,0.373,0.683,
FMGOETZE,Federal-Mogul Goetze (India) Limited,Consumer Cyclical,12,7,2,0,3,13.4241295,50.9,0.144,0.004,
ETERNAL,Eternal Limited,Consumer Cyclical,12,0,10,0,2,618.4103,0.0,1.965,3.75,0.01194
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,12,3,5,3,1,22.329002,0.0,71.47,-0.195,0.10797
FRONTSP,Frontier Springs Limited,,12,0,10,2,0,,0.0,0.398,0.919,
CHOICEIN,Choice International Limited,Financial Services,12,0,6,4,2,59.1496,0.0,0.218,0.153,0.16240999
ELDEHSG,Eldeco Housing and Industries Limited,Real Estate,12,2,8,2,0,36.093277,0.0,0.243,1.368,
MPHASIS,Mphasis Limited,Technology,12,4,4,3,1,22.07481,18.4,0.144,0.14,0.18285999
BALUFORGE,Balu Forge Industries Limited,Industrials,12,4,6,2,0,21.509222,26.4,0.216,0.206,
BLKASHYAP,B.L. Kashyap and Sons Limited,Industrials,12,2,10,0,0,111.06251,0.0,0.339,9.4,
MANINFRA,Man Infraconstruction Limited,Industrials,12,7,0,3,2,19.402641,33.6,-0.364,-0.483,0.10152
AIROLAM,Airo Lam Limited,Consumer Cyclical,12,2,10,0,0,46.883335,0.0,0.292,0.274,
KAJARIACER,Kajaria Ceramics Limited,Industrials,12,0,7,3,2,41.839622,0.0,0.124,2.659,0.16499001
IEX,Indian Energy Exchange Limited,Financial Services,12,0,3,5,4,22.611914,0.0,0.125,0.098,0.39419997
JUNIPER,Juniper Hotels Limited,Consumer Cyclical,12,3,8,1,0,30.789635,0.0,0.169,1.014,
NILE,Nile Limited,,12,2,10,0,0,,0.0,0.253,0.443,
OMFREIGHT,OMFREIGHT,Industrials,12,7,5,0,0,15.773851,46.0,0.023,1.654,
KMEW,Knowledge Marine & Engineering Works Limited,Industrials,12,0,10,2,0,70.43447,0.0,0.563,0.804,
AMBUJACEM,Ambuja Cements Limited,Basic Materials,12,3,6,1,2,22.780987,0.0,0.094,0.772,0.08311
GEEKAYWIRE,Geekay Wires Limited,Industrials,12,7,0,3,2,9.078231,69.0,0.017,-0.185,0.20352
